State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
Kansas,20,55-64 years,55-64,Male,M,766,2829583,27.1
Kansas,20,65-74 years,65-74,Female,F,79,1970776,4
Kansas,20,65-74 years,65-74,Male,M,453,1732291,26.2
Kansas,20,75-84 years,75-84,Female,F,44,1418327,3.1
Kansas,20,75-84 years,75-84,Male,M,378,1016304,37.2
Kansas,20,85+ years,85+,Female,F,20,751412,2.7
Kansas,20,85+ years,85+,Male,M,149,349045,42.7
Kentucky,21,5-14 years,5-14,Female,F,19,5204339,Unreliable
Kentucky,21,5-14 years,5-14,Male,M,57,5476132,1
Kentucky,21,15-24 years,15-24,Female,F,220,5444297,4
Kentucky,21,15-24 years,15-24,Male,M,1175,5711590,20.6
Kentucky,21,25-34 years,25-34,Female,F,360,5313840,6.8
Kentucky,21,25-34 years,25-34,Male,M,1628,5384673,30.2
Kentucky,21,35-44 years,35-44,Female,F,505,5658299,8.9
Kentucky,21,35-44 years,35-44,Male,M,1880,5625826,33.4
Kentucky,21,45-54 years,45-54,Female,F,566,5857420,9.7
Kentucky,21,45-54 years,45-54,Male,M,1903,5680372,33.5
Kentucky,21,55-64 years,55-64,Female,F,345,4876877,7.1
Kentucky,21,55-64 years,55-64,Male,M,1304,4559064,28.6
Kentucky,21,65-74 years,65-74,Female,F,159,3318067,4.8
Kentucky,21,65-74 years,65-74,Male,M,907,2851979,31.8
Kentucky,21,75-84 years,75-84,Female,F,72,2085300,3.5
Kentucky,21,75-84 years,75-84,Male,M,604,1420800,42.5
Kentucky,21,85+ years,85+,Female,F,15,890703,Unreliable
Kentucky,21,85+ years,85+,Male,M,215,382265,56.2
Louisiana,22,5-14 years,5-14,Female,F,24,5878895,0.4
Louisiana,22,5-14 years,5-14,Male,M,73,6137207,1.2
Louisiana,22,15-24 years,15-24,Female,F,230,6329102,3.6
Louisiana,22,15-24 years,15-24,Male,M,1257,6427453,19.6
Louisiana,22,25-34 years,25-34,Female,F,361,5937120,6.1
Louisiana,22,25-34 years,25-34,Male,M,1588,5855944,27.1
Louisiana,22,35-44 years,35-44,Female,F,445,5870278,7.6
Louisiana,22,35-44 years,35-44,Male,M,1478,5673680,26.1
Louisiana,22,45-54 years,45-54,Female,F,517,6065416,8.5
Louisiana,22,45-54 years,45-54,Male,M,1520,5783545,26.3
Louisiana,22,55-64 years,55-64,Female,F,337,4941469,6.8
Louisiana,22,55-64 years,55-64,Male,M,1071,4553721,23.5
Louisiana,22,65-74 years,65-74,Female,F,151,3297667,4.6
Louisiana,22,65-74 years,65-74,Male,M,731,2759582,26.5
Louisiana,22,75-84 years,75-84,Female,F,70,2080917,3.4
Louisiana,22,75-84 years,75-84,Male,M,509,1404565,36.2
Louisiana,22,85+ years,85+,Female,F,21,855036,2.5
Louisiana,22,85+ years,85+,Male,M,192,388045,49.5
Maine,23,5-14 years,5-14,Male,M,16,1540514,Unreliable
Maine,23,15-24 years,15-24,Female,F,66,1537083,4.3
Maine,23,15-24 years,15-24,Male,M,352,1611785,21.8
Maine,23,25-34 years,25-34,Female,F,81,1441201,5.6
Maine,23,25-34 years,25-34,Male,M,406,1410966,28.8
Maine,23,35-44 years,35-44,Female,F,163,1761676,9.3
Maine,23,35-44 years,35-44,Male,M,483,1698508,28.4
Maine,23,45-54 years,45-54,Female,F,197,1992911,9.9
Maine,23,45-54 years,45-54,Male,M,617,1924149,32.1
Maine,23,55-64 years,55-64,Female,F,143,1690860,8.5
Maine,23,55-64 years,55-64,Male,M,461,1619368,28.5
Maine,23,65-74 years,65-74,Female,F,48,1145438,4.2
Maine,23,65-74 years,65-74,Male,M,286,1033979,27.7
Maine,23,75-84 years,75-84,Female,F,26,758044,3.4
Maine,23,75-84 years,75-84,Male,M,203,550966,36.8
Maine,23,85+ years,85+,Female,F,13,361410,Unreliable
Maine,23,85+ years,85+,Male,M,123,166645,73.8
Maryland,24,5-14 years,5-14,Female,F,24,7072206,0.3
Maryland,24,5-14 years,5-14,Male,M,76,7363733,1
Maryland,24,15-24 years,15-24,Female,F,240,7101219,3.4
Maryland,24,15-24 years,15-24,Male,M,1051,7368803,14.3
Maryland,24,25-34 years,25-34,Female,F,281,7446401,3.8
Maryland,24,25-34 years,25-34,Male,M,1274,7143746,17.8
Maryland,24,35-44 years,35-44,Female,F,362,8223895,4.4
Maryland,24,35-44 years,35-44,Male,M,1390,7682864,18.1
Maryland,24,45-54 years,45-54,Female,F,499,8381408,6
Maryland,24,45-54 years,45-54,Male,M,1593,7729088,20.6
Maryland,24,55-64 years,55-64,Female,F,295,6465773,4.6
Maryland,24,55-64 years,55-64,Male,M,1147,5836051,19.7
Maryland,24,65-74 years,65-74,Female,F,154,4028898,3.8
Maryland,24,65-74 years,65-74,Male,M,659,3373457,19.5
Maryland,24,75-84 years,75-84,Female,F,93,2556672,3.6
Maryland,24,75-84 years,75-84,Male,M,536,1745014,30.7
Maryland,24,85+ years,85+,Female,F,42,1189731,3.5
Maryland,24,85+ years,85+,Male,M,220,542031,40.6
Massachusetts,25,5-14 years,5-14,Female,F,21,7493013,0.3
Massachusetts,25,5-14 years,5-14,Male,M,55,7845821,0.7
Massachusetts,25,15-24 years,15-24,Female,F,254,8576319,3
Massachusetts,25,15-24 years,15-24,Male,M,896,8642017,10.4
Massachusetts,25,25-34 years,25-34,Female,F,317,8517585,3.7
Massachusetts,25,25-34 years,25-34,Male,M,1280,8328661,15.4
Massachusetts,25,35-44 years,35-44,Female,F,472,9092443,5.2
Massachusetts,25,35-44 years,35-44,Male,M,1530,8729456,17.5
Massachusetts,25,45-54 years,45-54,Female,F,566,9345447,6.1
Massachusetts,25,45-54 years,45-54,Male,M,1712,8861385,19.3
Massachusetts,25,55-64 years,55-64,Female,F,390,7397231,5.3
Massachusetts,25,55-64 years,55-64,Male,M,1119,6791923,16.5
Massachusetts,25,65-74 years,65-74,Female,F,154,4890356,3.1
Massachusetts,25,65-74 years,65-74,Male,M,511,4098048,12.5
Massachusetts,25,75-84 years,75-84,Female,F,85,3504955,2.4
Massachusetts,25,75-84 years,75-84,Male,M,335,2354990,14.2
Massachusetts,25,85+ years,85+,Female,F,36,1836427,2
Massachusetts,25,85+ years,85+,Male,M,187,797365,23.5
Michigan,26,5-14 years,5-14,Female,F,77,12589223,0.6
Michigan,26,5-14 years,5-14,Male,M,146,13208186,1.1
Michigan,26,15-24 years,15-24,Female,F,493,13101152,3.8
Michigan,26,15-24 years,15-24,Male,M,2435,13632892,17.9
Michigan,26,25-34 years,25-34,Female,F,638,11765081,5.4
Michigan,26,25-34 years,25-34,Male,M,2911,11806675,24.7
Michigan,26,35-44 years,35-44,Female,F,988,13057579,7.6
Michigan,26,35-44 years,35-44,Male,M,3357,12874967,26.1
Michigan,26,45-54 years,45-54,Female,F,1130,13897982,8.1
Michigan,26,45-54 years,45-54,Male,M,3714,13524755,27.5
Michigan,26,55-64 years,55-64,Female,F,736,11323690,6.5
Michigan,26,55-64 years,55-64,Male,M,2485,10704407,23.2
Michigan,26,65-74 years,65-74,Female,F,302,7468731,4
Michigan,26,65-74 years,65-74,Male,M,1396,6494940,21.5
Michigan,26,75-84 years,75-84,Female,F,162,5007447,3.2
Michigan,26,75-84 years,75-84,Male,M,1081,3527892,30.6
Michigan,26,85+ years,85+,Female,F,53,2334993,2.3
Michigan,26,85+ years,85+,Male,M,457,1082885,42.2
Minnesota,27,5-14 years,5-14,Female,F,38,6635102,0.6
Minnesota,27,5-14 years,5-14,Male,M,102,6962442,1.5
Minnesota,27,15-24 years,15-24,Female,F,276,6755528,4.1
Minnesota,27,15-24 years,15-24,Male,M,1427,7035188,20.3
Minnesota,27,25-34 years,25-34,Female,F,334,6562210,5.1
Minnesota,27,25-34 years,25-34,Male,M,1512,6760015,22.4
Minnesota,27,35-44 years,35-44,Female,F,483,6887411,7
Minnesota,27,35-44 years,35-44,Male,M,1643,7016543,23.4
Minnesota,27,45-54 years,45-54,Female,F,541,7118432,7.6
Minnesota,27,45-54 years,45-54,Male,M,1813,7153761,25.3
Minnesota,27,55-64 years,55-64,Female,F,361,5563810,6.5
Minnesota,27,55-64 years,55-64,Male,M,1258,5448862,23.1
Minnesota,27,65-74 years,65-74,Female,F,112,3560492,3.1
Minnesota,27,65-74 years,65-74,Male,M,606,3209984,18.9
Minnesota,27,75-84 years,75-84,Female,F,74,2456492,3
Minnesota,27,75-84 years,75-84,Male,M,464,1804166,25.7
Minnesota,27,85+ years,85+,Female,F,22,1332352,1.7
Minnesota,27,85+ years,85+,Male,M,204,620339,32.9
Mississippi,28,5-14 years,5-14,Female,F,12,3892890,Unreliable
Mississippi,28,5-14 years,5-14,Male,M,43,4061664,1.1
